"tipo","categoria","slug","ruta","url"
"base","recursos","","/recursos","http://localhost:4000/recursos"
"categoria","ebooks","","/recursos/ebooks","http://localhost:4000/recursos/ebooks"
"categoria","plantillas","","/recursos/plantillas","http://localhost:4000/recursos/plantillas"
"categoria","prompts","","/recursos/prompts","http://localhost:4000/recursos/prompts"
"categoria","checklists","","/recursos/checklists","http://localhost:4000/recursos/checklists"
"categoria","scripts","","/recursos/scripts","http://localhost:4000/recursos/scripts"
"ebook","ebooks","google-calendar-dominado","/recursos/ebooks/google-calendar-dominado","http://localhost:4000/recursos/ebooks/google-calendar-dominado"
"plantilla","plantillas","notion-manual-sops","/recursos/plantillas/notion-manual-sops","http://localhost:4000/recursos/plantillas/notion-manual-sops"
"plantilla","plantillas","sheets-calculadora-leads","/recursos/plantillas/sheets-calculadora-leads","http://localhost:4000/recursos/plantillas/sheets-calculadora-leads"
"prompt","prompts","prompt-generador-copys","/recursos/prompts/prompt-generador-copys","http://localhost:4000/recursos/prompts/prompt-generador-copys"
"prompt","prompts","prompt-calibracion-soporte","/recursos/prompts/prompt-calibracion-soporte","http://localhost:4000/recursos/prompts/prompt-calibracion-soporte"
"checklist","checklists","checklist-campana-ads","/recursos/checklists/checklist-campana-ads","http://localhost:4000/recursos/checklists/checklist-campana-ads"
"checklist","checklists","checklist-auditoria-seguridad","/recursos/checklists/checklist-auditoria-seguridad","http://localhost:4000/recursos/checklists/checklist-auditoria-seguridad"
"script","scripts","script-whatsapp-notion","/recursos/scripts/script-whatsapp-notion","http://localhost:4000/recursos/scripts/script-whatsapp-notion"
"script","scripts","script-sheets-backup","/recursos/scripts/script-sheets-backup","http://localhost:4000/recursos/scripts/script-sheets-backup"
